strain	araConc	protein	signal
DMS2670	0	RpoD	1968.446289
DMS2670	0	RpoS	21.87809245
DMS2670	1.00E-05	RpoD	1622.208659
DMS2670	1.00E-05	RpoS	27.65690104
DMS2670	5.00E-05	RpoD	1795.533854
DMS2670	5.00E-05	RpoS	718.0234375
DMS2670	1.00E-04	RpoD	2085.090658
DMS2670	1.00E-04	RpoS	619.9194336
DMS2670	2.00E-04	RpoD	2116.937012
DMS2670	2.00E-04	RpoS	919.7109375
DMS2670	5.00E-04	RpoD	1994.395345
DMS2670	5.00E-04	RpoS	1036.054199
DMS2670	1.00E-03	RpoD	1788.193034
DMS2670	1.00E-03	RpoS	1730.406901
DMS2670	2.00E-03	RpoD	2283.864909
DMS2670	2.00E-03	RpoS	3379.184733
DMS2670	5.00E-03	RpoD	1743.714518
DMS2670	5.00E-03	RpoS	6036.958496
DMS2670	1.00E-02	RpoD	1961.438639
DMS2670	1.00E-02	RpoS	7570.664388
DMS2537	0.00E+00	RpoD	2257.150391
DMS2537	0.00E+00	RpoS	8974.372559
DMS2537	0.00E+00	RpoD	2272.010579
DMS2537	0.00E+00	RpoS	6866.937337
DMS2537	0.00E+00	RpoD	1952.820313
DMS2537	0.00E+00	RpoS	5732.059896
DMS2537	0.00E+00	RpoD	1582.981283
DMS2537	0.00E+00	RpoS	4580.035197
