genename	bnum	geneid	isNonUnique
frvA	b3900	gene3981	FALSE
yjiL	b4334	gene4426	FALSE
amiD	b0867	gene881	FALSE
yjiM	b4335	gene4427	FALSE
amiA	b2435	gene2494	FALSE
amiC	b2817	gene2879	FALSE
amiB	b4169	gene4259	FALSE
ydhZ	b1675	gene1715	FALSE
gpmA	b0755	gene768	FALSE
fic	b3361	gene3423	FALSE
argA	b2818	gene2880	FALSE
kdpA	b0698	gene710	FALSE
kdpC	b0696	gene708	FALSE
kdpB	b0697	gene709	FALSE
kdpE	b0694	gene706	FALSE
kdpD	b0695	gene707	FALSE
kdpF	b4513	gene711	FALSE
yhiD	b3508	gene3571	FALSE
yjeT	b4176	gene4266	FALSE
argC	b3958	gene4037	FALSE
yidD	b4557	gene3786	FALSE
yhiL	b4660	gene3550	FALSE
hslJ	b1379	gene1412	FALSE
yhiN	b3492	gene3552	FALSE
glnL	b3869	gene3950	FALSE
hslO	b3401	gene3462	FALSE
yhiI	b3487	gene3548	FALSE
arcZ	b4450	gene3270	FALSE
argE	b3957	gene4036	FALSE
hslR	b3400	gene3461	FALSE
feoB	b3409	gene3470	FALSE
adiC	b4115	gene4200	FALSE
hslV	b3932	gene4012	FALSE
arcB	b3210	gene3271	FALSE
yhiS	b3504	gene3567	FALSE
yjeN	b4157	gene4246	FALSE
yjeO	b4158	gene4247	FALSE
tmpR	b1368	gene1399	FALSE
yjeJ	b4145	gene4232	FALSE
yjeH	b4141	gene4228	FALSE
yjeI	b4144	gene4231	FALSE
fadR	b1187	gene1204	FALSE
yidE	b3685	gene3766	FALSE
yfjZ	b2645	gene2710	FALSE
yeiL	b2163	gene2217	FALSE
ypdK	b4680	gene2437	FALSE
ypdJ	b4545	gene2419	FALSE
ypdI	b2376	gene2434	FALSE
yggN	b2958	gene3020	FALSE
acrE	b3265	gene3326	FALSE
fdrA	b0518	gene523	FALSE
fadE	b0221	gene221	FALSE
fadD	b1805	gene1849	FALSE
fadK	b1701	gene1743	FALSE
fadJ	b2341	gene2396	FALSE
fadI	b2342	gene2397	FALSE
fadH	b3081	gene3142	FALSE
frsA	b0239	gene239	FALSE
ypdF	b2385	gene2444	FALSE
fadM	b0443	gene448	FALSE
inaA	b2237	gene2291	FALSE
ompT	b0565	gene576	FALSE
fis	b3261	gene3322	FALSE
ompW	b1256	gene1279	FALSE
yhjH	b3525	gene3590	FALSE
gmhA	b0222	gene222	FALSE
gmhB	b0200	gene198	FALSE
fiu	b0805	gene818	FALSE
ompX	b0814	gene827	FALSE
yaiY	b0379	gene385	FALSE
yggE	b2922	gene2986	FALSE
ompF	b0929	gene943	FALSE
ompG	b1319	gene1346	FALSE
rcdA	b0846	gene859	FALSE
uof	b4637	gene694	FALSE
ompC	b2215	gene2269	FALSE
ompL	b3875	gene3956	FALSE
ompN	b1377	gene1408	FALSE
yjiJ	b4332	gene4424	FALSE
srlB	b2704	gene2763	FALSE
srlA	b2702	gene2761	FALSE
srlE	b2703	gene2762	FALSE
srlD	b2705	gene2764	FALSE
gcvP	b2903	gene2965	FALSE
yiiE	b3889	gene3970	FALSE
gcvR	b2479	gene2540	FALSE
gcvT	b2905	gene2967	FALSE
tnaC	b3707	gene3789	FALSE
srlM	b2706	gene2765	FALSE
yiiD	b3888	gene3969	FALSE
gcvH	b2904	gene2966	FALSE
ddpD	b1484	gene1518	FALSE
srlQ	b2708	gene2767	FALSE
tnaB	b3709	gene3791	FALSE
sstT	b3089	gene3150	FALSE
bepA	b2494	gene2555	FALSE
gcvA	b2808	gene2869	FALSE
gcvB	b4443	gene2870	FALSE
yiiF	b3890	gene3971	FALSE
ddpF	b1483	gene1517	FALSE
yidH	b3676	gene3758	FALSE
ftsE	b3463	gene3523	FALSE
adiY	b4116	gene4201	FALSE
ftsB	b2748	gene2807	FALSE
ftsA	b0094	gene93	FALSE
yiiX	b3937	gene4017	FALSE
tdcA	b3118	gene3177	FALSE
eutB	b2441	gene2500	FALSE
ftsL	b0083	gene82	FALSE
ftsK	b0890	gene904	FALSE
ftsI	b0084	gene83	FALSE
ddpA	b1487	gene1521	FALSE
ftsW	b0089	gene88	FALSE
yieE	b3712	gene3794	FALSE
lptB	b3201	gene3261	FALSE
ddpB	b1486	gene1520	FALSE
ftsQ	b0093	gene92	FALSE
ftsP	b3017	gene3075	FALSE
pptA	b1461	gene1496	FALSE
ddpC	b1485	gene1519	FALSE
ftsZ	b0095	gene94	FALSE
ftsY	b3464	gene3524	FALSE
ftsX	b3462	gene3522	FALSE
mdh	b3236	gene3297	FALSE
hemA	b1210	gene1227	FALSE
dicA	b1570	gene1607	FALSE
rnhA	b0214	gene212	FALSE
rnhB	b0183	gene180	FALSE
pgsA	b1912	gene1960	FALSE
zntR	b3292	gene3353	FALSE
ydhI	b1643	gene1682	FALSE
yiiQ	b3920	gene4000	FALSE
yggT	b2952	gene3014	FALSE
fepC	b0588	gene603	FALSE
fepB	b0592	gene607	FALSE
fepA	b0584	gene598	FALSE
fepG	b0589	gene604	FALSE
yggW	b2955	gene3017	FALSE
fepE	b0587	gene602	FALSE
fepD	b0590	gene605	FALSE
yiiR	b3921	gene4001	FALSE
ligA	b2411	gene2470	FALSE
ligB	b3647	gene3725	FALSE
ybdH	b0599	gene615	FALSE
aidB	b4187	gene4277	FALSE
abgA	b1338	gene1367	FALSE
abgB	b1337	gene1366	FALSE
syd	b2793	gene2854	FALSE
sfsB	b3188	gene3248	FALSE
ybdK	b0581	gene593	FALSE
sfsA	b0146	gene143	FALSE
ligT	b0147	gene144	FALSE
mobB	b3856	gene3935	FALSE
ybdJ	b0580	gene592	FALSE
yggS	b2951	gene3013	FALSE
ampC	b4150	gene4239	FALSE
smg	b3284	gene3345	FALSE
ybdM	b0601	gene617	FALSE
abgR	b1339	gene1368	FALSE
yggR	b2950	gene3012	FALSE
roxA	b1128	gene1142	FALSE
gor	b3500	gene3560	FALSE
hybG	b2990	gene3052	FALSE
mobA	b3857	gene3936	FALSE
ynaE	b1375	gene1405	FALSE
prfA	b1211	gene1228	FALSE
prfB	b2891	gene2953	FALSE
degQ	b3234	gene3295	FALSE
dcuD	b3227	gene3288	FALSE
cynR	b0338	gene347	FALSE
prfH	b0236	gene236	FALSE
frwC	b3949	gene4028	FALSE
dcuB	b4123	gene4208	FALSE
dcuC	b0621	gene636	FALSE
zapC	b0946	gene960	FALSE
nth	b1633	gene1672	FALSE
zapA	b2910	gene2972	FALSE
degS	b3235	gene3296	FALSE
sodB	b1656	gene1695	FALSE
sodC	b1646	gene1685	FALSE
zapD	b0102	gene100	FALSE
alsA	b4087	gene4172	FALSE
dcuR	b4124	gene4209	FALSE
frwD	b3953	gene4032	FALSE
ybbO	b0493	gene499	FALSE
ybbN	b0492	gene498	FALSE
oxyR	b3961	gene4041	FALSE
ybbJ	b0488	gene494	FALSE
fixX	b0044	gene43	FALSE
umuD	b1183	gene1200	FALSE
ybbD	b0501	gene506	FALSE
ybbC	b0498	gene504	FALSE
umuC	b1184	gene1201	FALSE
yieP	b3755	gene3837	FALSE
